Dates,Confirmed Cases
1/22/20,1
1/23/20,1
1/24/20,2
1/25/20,2
1/26/20,5
1/27/20,5
1/28/20,5
1/29/20,5
1/30/20,5
1/31/20,7
2/1/20,8
2/2/20,8
2/3/20,11
2/4/20,11
2/5/20,11
2/6/20,11
2/7/20,11
2/8/20,11
2/9/20,11
2/10/20,11
2/11/20,12
2/12/20,12
2/13/20,13
2/14/20,13
2/15/20,13
2/16/20,13
2/17/20,13
2/18/20,13
2/19/20,13
2/20/20,13
2/21/20,15
2/22/20,15
2/23/20,15
2/24/20,15
2/25/20,15
2/26/20,15
2/27/20,16
2/28/20,16
2/29/20,24
3/1/20,30
3/2/20,53
3/3/20,73
3/4/20,104
3/5/20,174
3/6/20,222
3/7/20,337
3/8/20,451
3/9/20,519
3/10/20,711
3/11/20,1109
3/12/20,1561
3/13/20,2157
3/14/20,2870
3/15/20,2968
3/16/20,4360
3/17/20,6141
3/18/20,8914
3/19/20,14153
3/20/20,19479
3/21/20,25818
3/22/20,33756
3/23/20,43845
3/24/20,54108
3/25/20,66044
3/26/20,84080
3/27/20,102254
3/28/20,122054
3/29/20,141194
3/30/20,162690
3/31/20,188701
4/1/20,214194
4/2/20,244593
4/3/20,276535
4/4/20,309699
4/5/20,337573
4/6/20,367210
4/7/20,397992
4/8/20,429686
4/9/20,464442
4/10/20,497943
4/11/20,527958
4/12/20,556517
4/13/20,581810
4/14/20,608845
4/15/20,637974
4/16/20,669272
4/17/20,701996
4/18/20,730317
4/19/20,756375
4/20/20,783716
4/21/20,809213
4/22/20,837414
4/23/20,871617
4/24/20,907908
4/25/20,940829
4/26/20,968517
4/27/20,990993
4/28/20,1015518
4/29/20,1042926
4/30/20,1072667
5/1/20,1106829
5/2/20,1136024
5/3/20,1161611
5/4/20,1184086
5/5/20,1208271
5/6/20,1233527
5/7/20,1261409
5/8/20,1288566
5/9/20,1314306
5/10/20,1334084
5/11/20,1352962
5/12/20,1374914
5/13/20,1396109
5/14/20,1423726
5/15/20,1449026
5/16/20,1474127
5/17/20,1493131
5/18/20,1514839
5/19/20,1535337
5/20/20,1558949
5/21/20,1584486
5/22/20,1608623
5/23/20,1630450
5/24/20,1651239
5/25/20,1670209
5/26/20,1689057
5/27/20,1707423
5/28/20,1730259
5/29/20,1754747
5/30/20,1778993
5/31/20,1799122
6/1/20,1816476
6/2/20,1837367
6/3/20,1857248
6/4/20,1878543
6/5/20,1903854
6/6/20,1926538
6/7/20,1944309
6/8/20,1961781
6/9/20,1979868
6/10/20,2000702
6/11/20,2023590
6/12/20,2048986
6/13/20,2074526
6/14/20,2094058
6/15/20,2114026
6/16/20,2137731
